,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84;g__NA;s__NA,448,419,415,474,496,491,0,0,0,91,88,89,17138,17100,17092,248,265,249,15155,15125,15105,327,335,313,23554,23647,23519,1424,1426,1335,20405,20324,20367,2832,2852,2792,22125,22192,21923,43,53,42,26866,26907,26590,0,0,0,0,0,0,169,167,157,75321,75205,75328,712,706,747
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__NA;s__NA,0,0,0,7,5,9,0,0,0,0,0,0,153282,152784,153280,0,0,0,3754,3825,3836,0,0,0,9081,9019,9136,0,0,0,240,231,240,158,149,156,178,194,181,0,0,0,7988,7809,8009,1,1,0,0,0,0,242,242,245,32280,32317,32003,55,55,61
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__NA;s__NA,7703,7449,7700,1092,1113,1129,1077,1100,1055,68,61,66,24114,24399,24253,216,196,188,10909,10773,10775,451,472,400,13998,13893,13942,482,478,436,58373,58725,58707,6761,6642,6703,37229,37229,37446,46,43,37,27323,27169,27264,7,6,4,0,0,0,1362,1320,1366,14433,14582,14498,1547,1580,1602
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Halothiobacillales;f__Halothiobacillaceae;g__Thiovirga;s__NA,0,0,0,181,210,187,0,0,0,42,45,30,0,0,0,106238,106073,106000,0,0,0,80197,80355,79928,0,0,0,140,132,146,37,39,53,0,0,0,0,0,0,18,18,18,865,888,881,23,16,28,0,0,0,16725,16736,16861,0,0,0,87,90,80
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;s__NA,11980,12020,12012,2851,2874,2853,2589,2509,2578,324,311,315,4690,4690,4659,314,328,324,13306,13248,13400,325,322,332,7664,7700,7474,2010,2048,2016,39519,39472,39655,5079,5075,5091,61661,61948,61874,109,105,114,38158,38313,37978,0,0,0,0,0,0,355,359,370,7343,7374,7266,244,220,236
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__NA,4441,4537,4557,229,226,217,0,0,0,0,0,0,3307,3300,3374,3838,3820,3862,5975,5929,5976,28567,29017,28689,1020,993,1015,76892,76616,76956,13205,13286,13205,1244,1254,1199,27423,27277,27249,96,110,103,21622,21570,21745,17,16,28,0,0,0,2058,2045,2008,4097,4129,4149,2019,2058,2020
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__NA;s__NA,9176,9153,9086,200,214,201,6000,5945,5919,24,20,34,47925,48158,48049,397,351,425,24429,24314,24392,305,292,315,22971,23018,23072,1050,1071,1067,16606,16563,16680,1179,1206,1157,11683,11777,11626,22,22,17,20048,19910,20119,0,0,0,0,0,0,125,129,130,28056,28021,28140,286,262,292
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,112,125,101,0,0,0,201,233,202,0,0,0,55,56,57,812,834,791,620,624,605,30,41,33,2,2,1,181276,181189,180460,6,7,9,1,1,0,1985,2088,1950,2271,2270,2319,579,570,570
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__media,0,0,0,23,20,23,0,0,0,5,5,7,0,0,0,79,103,69,0,0,0,99,102,94,0,0,0,0,0,0,314,339,337,316,342,354,267,264,272,3,3,6,180760,180426,180703,4,2,4,1,1,1,1605,1653,1589,870,862,825,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Amaricoccus;s__NA,0,0,0,1018,998,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51096,51102,50947,7974,7892,7904,48041,48315,48038,117,106,128,70667,71203,70390,1,1,4,1,0,0,195,195,176,4139,4008,4097,0,0,0
k__Bacteria;p__NB1-j;c__NA;o__NA;f__NA;g__NA;s__NA,5382,5367,5325,160,155,176,1982,1986,2005,52,45,37,18040,18142,18040,0,0,0,7723,7728,7871,45,39,41,23450,23529,23290,871,868,889,16250,16358,16473,3134,3100,3192,16496,16572,16495,28,23,24,7021,7132,7037,1,0,0,0,0,0,135,124,129,79479,79559,79528,419,403,426
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__OLB12;s__NA,4794,4784,4808,311,354,313,866,879,902,24,26,27,35901,36267,35674,54,50,52,33000,33058,32869,528,531,545,24555,24645,24486,811,818,849,12576,12773,12598,1790,1780,1813,21694,21818,21730,7,8,12,21570,21622,21601,0,0,0,0,0,0,204,198,209,12183,12128,12232,326,343,321
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__NA,9790,9747,9771,3046,3018,3059,1055,1073,1068,374,379,371,7578,7716,7405,74,73,73,17887,18054,17870,360,321,396,9354,9285,9212,2252,2317,2233,35679,35664,35412,5330,5406,5295,29052,29018,29045,119,116,121,31957,32265,32043,3,3,6,0,0,0,242,244,249,13707,13821,13559,193,181,176
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__NA;s__NA,330,373,327,553,552,525,271,286,277,238,224,231,58151,58189,58168,2348,2330,2310,39,27,51,6281,6342,6303,187,192,179,15522,15596,15530,2603,2647,2565,1966,1907,2047,8265,8384,8239,54,44,49,23762,24112,23931,7,6,10,0,0,0,3881,3903,3886,8892,8847,8965,31762,31815,31581
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Leptothrix;s__NA,353,363,320,2141,2109,2141,1534,1563,1500,277,289,287,0,0,0,310,325,326,0,0,0,370,362,369,0,0,0,150,151,150,41218,41004,41053,7771,7828,7726,48749,48819,49228,75,70,81,47163,46958,47154,4,3,6,2,1,2,645,626,659,9869,9786,9925,326,340,328
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__NA;s__NA,2781,2878,2806,975,979,1002,1383,1354,1380,143,164,158,8058,7972,8116,364,339,371,16844,16879,16670,514,515,524,5686,5650,5621,2511,2567,2486,31873,32078,31804,3530,3557,3513,42617,42780,42782,47,38,59,27626,27756,27447,8,10,10,0,0,0,588,589,570,6919,6903,6840,244,236,232
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__NA;s__NA,0,0,0,12,15,15,0,0,0,0,0,0,90981,90779,91558,210,222,237,354,358,329,60,65,47,15057,15136,14960,245,253,249,1367,1370,1371,240,239,243,519,536,544,2,4,2,4476,4490,4462,2,1,1,0,0,0,71,76,73,38115,38142,38324,119,132,126
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Kineobactrum;s__NA,4134,4023,4060,3133,3217,3098,1456,1472,1416,207,181,206,0,0,0,0,0,0,7665,7729,7710,0,0,0,0,0,0,355,380,360,39780,40016,39700,5711,5596,5750,73876,74488,73706,93,85,108,7836,7702,7792,0,0,0,0,0,0,65,66,65,6600,6635,6727,133,134,125
